ParticipantID,SEX,ParticipantAge,PartnerNumber,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,ZSDQ1,ZSDQ2,ZSDQ3,ZSDQ4,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20,NumberChildrenExp,LHYearsLeftToLiv
47,0,32,3,1,1,7,1,1,5,7,5,5,2,6,5,5,4,2,5,6,1.23035604039193,.538352118707369,.964833977758214,1.26317473387174,5,2,2,6,5,5,7,6,7,7,7,7,6,5,4,6,4,5,4,5,3,55
48,0,65,5,200,3,2,5,7,7,4,1,5,2,6,4,3,4,4,4,5,.394169620347785,-.349201374296671,.180102342514866,.504442937912773,7,1,2,7,7,6,6,6,1,6,6,1,1,1,1,2,2,2,1,1,0,15
52,0,32,7,12,1,15,5,6,6,5,3,6,4,2,4,6,6,4,6,4,.394169620347785,.538352118707369,.964833977758214,.504442937912773,6,2,4,6,6,5,6,6,4,7,6,5,6,6,6,5,5,5,4,1,1,60
53,0,40,15,23,1,9,3,7,5,1,1,7,1,2,2,1,5,1,5,3,1.23035604039193,.538352118707369,.964833977758214,1.26317473387174,6,2,1,5,7,4,7,7,4,7,7,2,7,7,7,6,3,5,4,4,0,45
54,0,51,7,7,1,0,5,7,7,7,1,5,1,7,1,7,7,1,7,7,.394169620347785,.538352118707369,.964833977758214,-.254288858046192,6,1,1,7,7,5,5,5,6,7,7,1,7,6,6,1,5,5,2,1,3,40
55,0,40,7,4,0,0,4,4,7,7,1,6,1,2,2,7,7,1,7,4,.394169620347785,1.42590561171141,1.74956561300156,-.254288858046192,5,2,4,7,6,6,7,7,4,7,5,7,7,7,7,6,5,6,2,4,0, 
56,0,34,10,18,1,2,2,6,6,2,3,5,4,4,1,2,6,1,4,6,-.44201679969636,.538352118707369,.964833977758214,-.254288858046192,5,3,4,3,5,5,5,1,4,6,4,4,7,6,5,6,5,5,5,7,3,54
57,0,22,9,4,0,0,2,7,5,5,5,6,2,2,6,5,5,2,6,3,1.23035604039193,-1.23675486730071,.180102342514866,.504442937912773,5,2,2,6,5,3,5,3,4,4,7,6,3,5,3,3,3,3,2,1,2,100
58,0,45,20,25,1,12,2,5,5,6,1,6,1,5,1,7,7,1,7,5,1.23035604039193,.538352118707369,.964833977758214,.504442937912773,6,3,5,5,6,5,2,1,3,5,7,6,4,3,3,5,5,5,2,1,1,0
59,0,54,12,45,2,0,5,3,6,1,5,6,5,6,5,1,5,4,5,3,.394169620347785,-.349201374296671,.180102342514866,-1.01302065400516,5,2,5,6,7,3,3,5,2,4,5,2,7,7,7,3,2,2,1,1,3,30
60,0,66,6,13,1,5,2,3,4,4,3,6,4,5,3,4,6,2,5,4,1.23035604039193,-.349201374296671,-.604629292728481,1.26317473387174,5,5,7,5,5,7,7,7,7,6,3,2,3,3,2,3,5,3,2,2,1,10
61,0,76,45,25,0,0,5,5,4,1,6,4,5,5,5,1,4,5,4,1,-2.11438963978465,-2.12430836030475,-1.38936092797183,-.254288858046192,4,3,3,5,3,3,2,2,5,4,3,2,4,3,3,4,3,3,3,4,2,30
62,0,59,9,14,1,0,2,5,5,1,1,5,2,4,5,2,5,5,5,2,.394169620347785,-.349201374296671,.180102342514866,-.254288858046192,6,3,2,5,5,3,6,5,6,5,7,6,5,5,5,5,5,5,4,4,2,25
63,0,35,10,12,1,8,1,6,7,5,1,5,1,6,2,5,5,2,5,2,-.44201679969636,.538352118707369,-.604629292728481,-.254288858046192,5,3,3,7,4,4,7,4,7,7,6,3,6,5,5,5,5,5,3,1,2,38
64,0,46,7,10,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-.44201679969636,-.349201374296671,.180102342514866,-.254288858046192,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,30
65,0,48,3,3,1,0,1,1,2,7,1,7,1,5,3,7,4,1,4,5,1.23035604039193,1.42590561171141,.964833977758214,1.26317473387174,5,1,3,7,7,6,6,2,4,6,7,7,1,1,1,1,1,1,1,1,3,30
66,0,36,5,2,0,0,1,6,5,5,1,4,1,2,1,5,4,1,3,3,.394169620347785,.538352118707369,.964833977758214,-.254288858046192,3,3,5,4,6,6,6,5,4,4,7,5,7,7,6,6,6,6,3,4,0,50
68,0,28,6,4,1,1,7,4,5,5,2,4,2,6,2,6,7,2,7,7,.394169620347785,.538352118707369,.180102342514866,-2.53048424592309,4,2,5,6,6,5,1,1,7,5,7,6,2,1,1,6,6,4,3,5,1,50
69,0,53,1,1,1,5,1,4,5,2,1,1,1,1,1,1,4,1,4,1,1.23035604039193,-.349201374296671,-1.38936092797183,-.254288858046192,5,3,3,6,6,5,7,2,7,7,7,7,7,5,5,4,4,4,4,7,1,5
73,0,35,6,12,1,2,2,6,6,7,1,6,7,5,2,7,5,1,6,7,1.23035604039193,.538352118707369,.180102342514866,.504442937912773,5,4,3,5,5,5,6,6,6,6,7,2,4,4,4,5,4,4,4,6,2,50
74,0,69,5,3,1,2,1,5,5,1,1,5,1,5,1,1,7,2,7,5,-.44201679969636,-.349201374296671,.180102342514866,-1.01302065400516,6,2,1,7,7,5,5,3,6,7,7,6,3,3,5,6,6,6,2,1,3,30
75,0,30,20,20,1,15,1,1,1,1,1,5,1,1,1,1,6,1,7,1,1.23035604039193,1.42590561171141,-1.38936092797183,.504442937912773,7,1,2,7,6,3,5,3,7,7,7,6,6,4,4,2,3,2,1,1,4, 
76,0,30,5,16,1,10,2,2,6,6,2,6,2,6,5,6,7,4,6,6,1.23035604039193,.538352118707369,.180102342514866,.504442937912773,6,2,1,7,7,2,7,7,4,7,5,1,7,7,7,7,7,7,6,5,2,60
77,0,25,4,2,1,2,6,4,3,6,5,6,5,4,6,3,4,5,5,2,-1.27820321974051,.538352118707369,.964833977758214,1.26317473387174,5,4,5,5,6,5,4,3,5,6,5,3,3,5,6,6,4,5,3,5,2,40
78,0,34,2,2,0,0,3,3,5,6,2,3,3,3,2,5,4,2,4,2,1.23035604039193,1.42590561171141,1.74956561300156,-.254288858046192,5,3,5,5,6,5,6,4,4,4,4,2,3,2,2,3,2,2,1,1,2,40
79,0,27,4,10,2,15,6,4,7,7,1,7,1,6,7,7,7,4,7,7,.394169620347785,.538352118707369,-1.38936092797183,1.26317473387174,7,1,2,7,5,4,7,1,4,7,1,4,7,7,7,7,7,7,4,1,3,50
80,0,63,10,15,1,12,2,2,6,4,2,6,2,5,6,6,7,2,7,7,.394169620347785,.538352118707369,.180102342514866,.504442937912773,6,6,1,7,6,3,6,4,5,7,7,5,7,4,4,6,6,6,6,6,1,20
