ParticipantID,SEX,ParticipantAge,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20
35,0,42,4,1,4,4,4,5,1,1,7,1,7,1,1,1,1,1,1,7,4,2,2,5,5,2,5,7,5,5,6,5,5,5,5,6,5,5,5,4,4,5,4
359,0,42,2,1,3,7,2,4,2,1,7,4,7,1,2,2,1,1,2,9,2,2,1,1,4,6,5,4,7,6,4,6,6,6,6,4,3,3,5,5,6,6,4
396,0,42,4,4,4,5,4,5,4,4,6,4,5,5,2,6,6,7,5,2,4,2,2,5,5,6,6,5,5,6,6,6,6,7,5,6,6,6,6,6,6,5,1
129,1,41,4,4,3,6,2,3,6,4,6,2,6,5,2,1,2,1,1,7,1,2,1,4,6,7,6,7,7,7,7,4,5,7,6,7,7,7,5,5,5,5,7
197,1,41,2,2,2,6,2,2,4,3,6,3,6,3,3,1,6,5,5,5,3,3,3,6,6,7,6,6,3,6,6,4,6,5,5,7,7,7,7,7,7,7,4
178,1,41,2,5,1,6,1,1,2,4,6,2,6,5,2,1,1,8,3,8,1,1,1,2,3,1,7,5,7,6,7,7,6,7,7,6,5,6,5,5,5,3,5
192,1,41,3,4,4,5,3,2,2,4,5,2,6,4,2,2,2,2,2,8,1,1,2,5,5,5,5,6,5,7,7,7,7,7,7,6,6,6,5,5,5,5,5
207,1,41,2,1,5,7,2,5,7,2,5,2,3,1,2,9,9,9,9,1,1,2,1,6,6,2,7,7,3,5,7,4,4,3,1,1,5,5,2,5,5,1,1
260,1,41,1,2,3,3,1,1,1,3,4,1,4,2,2,1,1,1,1,9,1,1,1,3,6,6,6,6,2,6,3,7,2,7,7,7,7,7,7,7,7,5,6
125,1,40,1,6,2,5,2,2,2,6,6,2,6,6,2,1,1,1,1,8,1,1,1,2,2,2,2,2,2,4,4,7,7,7,7,7,4,2,6,2,6,6,6
162,1,40,5,5,1,7,1,7,2,5,7,2,7,2,2,4,2,7,5,2,6,4,2,5,5,2,3,2,6,1,2,7,4,7,2,2,1,1,1,1,5,1,1
284,1,40,2,4,1,4,1,3,1,3,6,1,5,4,2,3,3,3,3,4,2,2,2,6,7,4,6,7,5,7,7,7,7,7,6,7,7,7,6,6,6,6,6
53,0,40,3,1,1,7,1,2,2,1,5,1,5,3,2,3,7,9,9,1,7,5,5,6,6,7,5,7,4,7,7,4,7,7,2,7,7,7,6,3,5,4,4
55,0,40,4,7,1,6,1,2,2,7,7,1,7,4,1,1,1,9,1,9,7,6,3,5,6,4,7,6,6,7,7,4,7,5,7,7,7,7,6,5,6,2,4
